text,sentiment,contains_unusual,tokens
even in my bmw 3 series which is fairly quiet i have trouble hearing what the other person is saying,0,False,"['even', 'bmw', '3', 'series', 'fairly', 'quiet', 'trouble', 'hearing', 'person', 'saying']"
great choice,1,False,"['great', 'choice']"
nice docking station for home or work,1,False,"['nice', 'docking', 'station', 'home', 'work']"
this is a beautiful phone,1,False,"['beautiful', 'phone']"
love this product,1,False,"['love', 'product']"
do not buy for d807wrongly advertised for d807,0,False,"['buy', 'd807wrongly', 'advertised', 'd807']"
this is a great little item,1,False,"['great', 'little', 'item']"
i love this phone  it is very handy and has a lot of features ,1,False,"['love', 'phone', 'handy', 'lot', 'features']"
i purchased this and within 2 days it was no longer working,0,False,"['purchased', 'within', '2', 'days', 'longer', 'working']"
i wear it everyday and it holds up very well,1,False,"['wear', 'everyday', 'holds', 'well']"
not a good bargain,0,False,"['good', 'bargain']"
well packaged arrived on time and works as intended,1,False,"['well', 'packaged', 'arrived', 'time', 'works', 'intended']"
the battery runs down quickly,0,False,"['battery', 'runs', 'quickly']"
this item worked great but it broke after 6 months of use,0,False,"['item', 'worked', 'great', 'broke', '6', 'months', 'use']"
the headsets are easy to use and everyone loves them,1,False,"['headsets', 'easy', 'use', 'everyone', 'loves']"
this phone works great,1,False,"['phone', 'works', 'great']"
the construction of the headsets is poor,0,False,"['construction', 'headsets', 'poor']"
product was excellent and works better than the verizon one and boy was it cheaper,1,False,"['product', 'excellent', 'works', 'better', 'verizon', 'one', 'boy', 'cheaper']"
the phone loads super,1,False,"['phone', 'loads', 'super']"
for a product that costs as much as this one does i expect it to work far better and with greater ease than this thing does,0,False,"['product', 'costs', 'much', 'one', 'expect', 'work', 'far', 'better', 'greater', 'ease', 'thing']"
made very sturdy,1,False,"['made', 'sturdy']"
worked great,1,False,"['worked', 'great']"
the ear buds only play music in one ear,0,False,"['ear', 'buds', 'play', 'music', 'one', 'ear']"
dont waste your money,0,False,"['dont', 'waste', 'money']"
will order from them again,1,False,['order']
if you plan to use this in a car forget about it,0,False,"['plan', 'use', 'car', 'forget']"
i found this product to be waaay too big,0,False,"['found', 'product', 'waaay', 'big']"
best ive found so far  ive tried 2 other bluetooths and this one has the best quality for both me and the listener as well as ease of using,1,False,"['best', 'ive', 'found', 'far', 'ive', 'tried', '2', 'bluetooths', 'one', 'best', 'quality', 'listener', 'well', 'ease', 'using']"
im very disappointed with my decision,0,False,"['im', 'disappointed', 'decision']"
integrated seamlessly with the motorola razr phone,1,False,"['integrated', 'seamlessly', 'motorola', 'razr', 'phone']"
buyer beware you could flush money right down the toilet,0,False,"['buyer', 'beware', 'could', 'flush', 'money', 'right', 'toilet']"
definitely a bargain,1,False,"['definitely', 'bargain']"
the price was very good and with the free shipping and all it was a good purchase,1,False,"['price', 'good', 'free', 'shipping', 'good', 'purchase']"
i received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger,0,False,"['received', 'supposedly', 'new', 'motorola', '375', 'apparently', 'match', 'phone', 'charger']"
prosgood camera  very nice pictures  also has cool styles like black and white and more,1,False,"['prosgood', 'camera', 'nice', 'pictures', 'also', 'cool', 'styles', 'like', 'black', 'white']"
thats a huge design flaw unless im not using it correctly which i dont think is the case,0,False,"['thats', 'huge', 'design', 'flaw', 'unless', 'im', 'using', 'correctly', 'dont', 'think', 'case']"
i love my 350 headset my jabra350 bluetooth headset is great the reception is very good and the ear piece is a comfortable fit,1,False,"['love', '350', 'headset', 'jabra350', 'bluetooth', 'headset', 'great', 'reception', 'good', 'ear', 'piece', 'comfortable', 'fit']"
the camera although rated at an impressive 13 megapixels renders images that fall well below expectations of such a relatively high resolution,0,False,"['camera', 'although', 'rated', 'impressive', '13', 'megapixels', 'renders', 'images', 'fall', 'well', 'expectations', 'relatively', 'high', 'resolution']"
i purcashed this for the car charger and it does not work,0,False,"['purcashed', 'car', 'charger', 'work']"
sound quality on both end is excellent i use headset to call my wife and ask my wife to use headset to call me 2,1,False,"['sound', 'quality', 'end', 'excellent', 'use', 'headset', 'call', 'wife', 'ask', 'wife', 'use', 'headset', 'call', '2']"
this phone is slim and light and the display is beautiful,1,False,"['phone', 'slim', 'light', 'display', 'beautiful']"
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case,1,False,"['little', 'geeky', 'think', 'thats', 'sex', 'toast', 'rocks', 'oozes', 'sex', 'right', 'battery', 'embedded', 'sleek', 'stylish', 'leather', 'case']"
great product fast shipping,1,False,"['great', 'product', 'fast', 'shipping']"
absolutely great,1,False,"['absolutely', 'great']"
the keyboard is a nice compromise between a full qwerty and the basic cell phone number keypad,1,False,"['keyboard', 'nice', 'compromise', 'full', 'qwerty', 'basic', 'cell', 'phone', 'number', 'keypad']"
i got this phone around the end of may and im completely unhappy with it,0,False,"['got', 'phone', 'around', 'end', 'may', 'im', 'completely', 'unhappy']"
it is very comfortable on the ear,1,False,"['comfortable', 'ear']"
it has been a winner for us,1,False,"['winner', 'us']"
setup couldnt have been simpler,1,False,"['setup', 'couldnt', 'simpler']"
ive tried several different earpieces for my cell phone and this jabra one is the first one ive found that fits my ear comfortably,1,False,"['ive', 'tried', 'several', 'different', 'earpieces', 'cell', 'phone', 'jabra', 'one', 'first', 'one', 'ive', 'found', 'fits', 'ear', 'comfortably']"
could not get strong enough signal,0,False,"['could', 'get', 'strong', 'enough', 'signal']"
iam very pleased with my purchase,1,False,"['iam', 'pleased', 'purchase']"
bad quality,0,False,"['bad', 'quality']"
gets the job done,1,False,"['gets', 'job', 'done']"
great audio,1,False,"['great', 'audio']"
basically the service was very bad,0,False,"['basically', 'service', 'bad']"
it did not work in my cell phone plug i am very up set with the charger,0,False,"['work', 'cell', 'phone', 'plug', 'set', 'charger']"
ive only had my bluetooth for a few weeks but i really like it,1,False,"['ive', 'bluetooth', 'weeks', 'really', 'like']"
the bt headset was such a disapoinment,0,False,"['bt', 'headset', 'disapoinment']"
it is so small and you dont even realize that it is there after a while of getting used to it,1,False,"['small', 'dont', 'even', 'realize', 'getting', 'used']"
the accompanied software is almost brilliant,1,False,"['accompanied', 'software', 'almost', 'brilliant']"
headset works great  was packaged nicely to avoid any damage,1,False,"['headset', 'works', 'great', 'packaged', 'nicely', 'avoid', 'damage']"
i definitly recommend,1,False,"['definitly', 'recommend']"
buyerbe very careful,0,False,"['buyerbe', 'careful']"
the majority of the logitech earbud headsets failed,0,False,"['majority', 'logitech', 'earbud', 'headsets', 'failed']"
very good stuff for the price,1,False,"['good', 'stuff', 'price']"
my headset works just peachykeen,1,False,"['headset', 'works', 'peachykeen']"
in my house i was getting dropped coverage upstairs and no coverage in my basement,0,False,"['house', 'getting', 'dropped', 'coverage', 'upstairs', 'coverage', 'basement']"
voice recognition is tremendous,1,False,"['voice', 'recognition', 'tremendous']"
what a waste,0,False,['waste']
during several different 2 minute calls i experienced 5 drops and it was in an area that had 5 bars,0,False,"['several', 'different', '2', 'minute', 'calls', 'experienced', '5', 'drops', 'area', '5', 'bars']"
i was not happy with this item,0,False,"['happy', 'item']"
very disappointed,0,False,['disappointed']
the phone takes forever to charge like 2 to 5 hours literally,0,False,"['phone', 'takes', 'forever', 'charge', 'like', '2', '5', 'hours', 'literally']"
i got this phone on reccomendation from a relative and im glad i did,1,False,"['got', 'phone', 'reccomendation', 'relative', 'im', 'glad']"
what a waste of time,0,False,"['waste', 'time']"
its reception is very very poor,0,False,"['reception', 'poor']"
items stated as included from the description are not included,0,False,"['items', 'stated', 'included', 'description', 'included']"
after 3 months screen just went black all of a sudden,0,False,"['3', 'months', 'screen', 'went', 'black', 'sudden']"
i was hoping for more,0,False,['hoping']
audio quality is poor very poor,0,False,"['audio', 'quality', 'poor', 'poor']"
i had absolutely no problem with this headset linking to my 8530 blackberry curve,1,False,"['absolutely', 'problem', 'headset', 'linking', '8530', 'blackberry', 'curve']"
i know that sounds funny but to me it seemed like sketchy technology that wouldnt work wellwell this one works great,1,False,"['know', 'sounds', 'funny', 'seemed', 'like', 'sketchy', 'technology', 'wouldnt', 'work', 'wellwell', 'one', 'works', 'great']"
ive bought 5 wired headphones that sound better than these,0,False,"['ive', 'bought', '5', 'wired', 'headphones', 'sound', 'better']"
this phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used,1,False,"['phone', 'fast', 'sending', 'kind', 'messages', 'web', 'browsing', 'significantly', 'faster', 'previous', 'phones', 'used']"
nice quality build unlike some cheap s out there,1,False,"['nice', 'quality', 'build', 'unlike', 'cheap']"
this item is fantastic and works perfectly,1,False,"['item', 'fantastic', 'works', 'perfectly']"
and i just love the colors,1,False,"['love', 'colors']"
w810i is just superb,1,False,"['w810i', 'superb']"
all i can do is whine on the internet so here it goesthe more i use the thing the less i like it,0,False,"['whine', 'internet', 'goesthe', 'use', 'thing', 'less', 'like']"
great charger,1,False,"['great', 'charger']"
this is essentially a communications tool that does not communicate,0,False,"['essentially', 'communications', 'tool', 'communicate']"
works like a charm it work the same as the one i got with the phone,1,False,"['works', 'like', 'charm', 'work', 'one', 'got', 'phone']"
i still maintain that monkeys shouldnt make headphones we just obviously dont share enough dna to copy the design over to humans,0,False,"['still', 'maintain', 'monkeys', 'shouldnt', 'make', 'headphones', 'obviously', 'dont', 'share', 'enough', 'dna', 'copy', 'design', 'humans']"
great value,1,False,"['great', 'value']"
doesnt work at all i bougth it for my l7c and its not working,0,False,"['doesnt', 'work', 'bougth', 'l7c', 'working']"
the look of it is very sharp and the screen is nice and clear with great graphics,1,False,"['look', 'sharp', 'screen', 'nice', 'clear', 'great', 'graphics']"
doesnt last long,0,False,"['doesnt', 'last', 'long']"
one thing i hate is the mode set button at the side,0,False,"['one', 'thing', 'hate', 'mode', 'set', 'button', 'side']"
excellent service,1,False,"['excellent', 'service']"
thank you for wasting my money,0,False,"['thank', 'wasting', 'money']"
how can that bethe audio quality is poor,0,False,"['bethe', 'audio', 'quality', 'poor']"
the igo chargers and tips are really great,1,False,"['igo', 'chargers', 'tips', 'really', 'great']"
the file browser offers all the options that one needshandsfree is great,1,False,"['file', 'browser', 'offers', 'options', 'one', 'needshandsfree', 'great']"
superb phone on a great network,1,False,"['superb', 'phone', 'great', 'network']"
i connected my wifes bluetoothmotorola hs850 to my phone and it worked like a charm whether the phone was in my pocket or the case,1,False,"['connected', 'wifes', 'bluetoothmotorola', 'hs850', 'phone', 'worked', 'like', 'charm', 'whether', 'phone', 'pocket', 'case']"
i put the latest os on it v115g and it now likes to slow to a crawl and lock up every once in a while,0,False,"['put', 'latest', 'os', 'v115g', 'likes', 'slow', 'crawl', 'lock', 'every']"
it only recognizes the phone as its storage device,0,False,"['recognizes', 'phone', 'storage', 'device']"
if you like a loud buzzing to override all your conversations then this phone is for you,0,False,"['like', 'loud', 'buzzing', 'override', 'conversations', 'phone']"
dont buy this product,0,False,"['dont', 'buy', 'product']"
ive had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear,0,False,"['ive', 'bluetoooth', 'headset', 'time', 'still', 'comfortable', 'way', 'fits', 'ear']"
the sound quality is good and functionality is awesome,1,False,"['sound', 'quality', 'good', 'functionality', 'awesome']"
i have this phone and it is a thorn in my side i really abhor it,0,False,"['phone', 'thorn', 'side', 'really', 'abhor']"
i recently had problems where i could not stay connected for more than 10 minutes before being disconnected,0,False,"['recently', 'problems', 'could', 'stay', 'connected', '10', 'minutes', 'disconnected']"
incredible,1,False,['incredible']
design flaw,0,False,"['design', 'flaw']"
great phone,1,False,"['great', 'phone']"
waste of 13 bucks,0,False,"['waste', '13', 'bucks']"
but when i check voice mail at night the keypad backlight turns off a few seconds into the first message and then im lost,0,False,"['check', 'voice', 'mail', 'night', 'keypad', 'backlight', 'turns', 'seconds', 'first', 'message', 'im', 'lost']"
the replacement died in a few weeks,0,False,"['replacement', 'died', 'weeks']"
any ring toneoverall good phone to buy,1,False,"['ring', 'toneoverall', 'good', 'phone', 'buy']"
lately they have been extremely nice and helpful on the phone,1,False,"['lately', 'extremely', 'nice', 'helpful', 'phone']"
i have had problems wit hit dropping signal and more,0,False,"['problems', 'wit', 'hit', 'dropping', 'signal']"
not impressed,0,False,['impressed']
light weight i hardly notice it is there,1,False,"['light', 'weight', 'hardly', 'notice']"
youll love how thin it is,1,False,"['youll', 'love', 'thin']"
bad choice,0,False,"['bad', 'choice']"
the pleather case doesnt fit,0,False,"['pleather', 'case', 'doesnt', 'fit']"
useless phone simply deaf,0,False,"['useless', 'phone', 'simply', 'deaf']"
the color is even prettier than i thought it would be and the graphics are incredibly sharp,1,False,"['color', 'even', 'prettier', 'thought', 'would', 'graphics', 'incredibly', 'sharp']"
all in all i think it was a good investment,1,False,"['think', 'good', 'investment']"
it makes very strange ticking noises before it ends the call,0,False,"['makes', 'strange', 'ticking', 'noises', 'ends', 'call']"
the best electronics of the available fm transmitters,1,False,"['best', 'electronics', 'available', 'fm', 'transmitters']"
battery lasts only a few hours,0,False,"['battery', 'lasts', 'hours']"
great headset very impressed  h500,1,False,"['great', 'headset', 'impressed', 'h500']"
the 12 mega pixel camera being a part of a phone is reasonably good7,1,False,"['12', 'mega', 'pixel', 'camera', 'part', 'phone', 'reasonably', 'good7']"
ive had this for nearly 2 years and it has worked great for me,1,False,"['ive', 'nearly', '2', 'years', 'worked', 'great']"
good transmit audio,1,False,"['good', 'transmit', 'audio']"
we are sending it back,0,False,"['sending', 'back']"
i did not bother contacting the company for few dollar product but i learned the lesson that i should not have bought this form online anyway,0,False,"['bother', 'contacting', 'company', 'dollar', 'product', 'learned', 'lesson', 'bought', 'form', 'online', 'anyway']"
if you hate earbugs avoid this phone by all means,0,False,"['hate', 'earbugs', 'avoid', 'phone', 'means']"
great price also,1,False,"['great', 'price', 'also']"
the range is very decent ive been able to roam around my house with the phone in the living room with no receptionsound quality issues,1,False,"['range', 'decent', 'ive', 'able', 'roam', 'around', 'house', 'phone', 'living', 'room', 'receptionsound', 'quality', 'issues']"
fast service,1,False,"['fast', 'service']"
i would highly recommend this,1,False,"['would', 'highly', 'recommend']"
i would recommend this,1,False,"['would', 'recommend']"
i also didnt like the on button it felt like it would crack with use,0,False,"['also', 'didnt', 'like', 'button', 'felt', 'like', 'would', 'crack', 'use']"
worst phone ever,0,False,"['worst', 'phone', 'ever']"
im still infatuated with this phone,1,False,"['im', 'still', 'infatuated', 'phone']"
freezes frequently4,0,False,"['freezes', 'frequently4']"
its kind of embarrassing to use because of how it looks and mostly its embarrassing how childlike the company is,0,False,"['kind', 'embarrassing', 'use', 'looks', 'mostly', 'embarrassing', 'childlike', 'company']"
simple lightweight and great fit,1,False,"['simple', 'lightweight', 'great', 'fit']"
all in all id expected a better consumer experience from motorola,0,False,"['id', 'expected', 'better', 'consumer', 'experience', 'motorola']"
theres a horrible tick sound in the background on all my calls that i have never experienced before,0,False,"['theres', 'horrible', 'tick', 'sound', 'background', 'calls', 'never', 'experienced']"
these are certainly very comfortable and functionality is decent,1,False,"['certainly', 'comfortable', 'functionality', 'decent']"
i usually dont like headbands but this one is very lightweight  doesnt mess up my hair,1,False,"['usually', 'dont', 'like', 'headbands', 'one', 'lightweight', 'doesnt', 'mess', 'hair']"
im a bit disappointed,0,False,"['im', 'bit', 'disappointed']"
i have had this phone for over a year now and i will tell you its not that great,0,False,"['phone', 'year', 'tell', 'great']"
i ordered this for sony ericsson w810i but i think it only worked once thats when i first used it,0,False,"['ordered', 'sony', 'ericsson', 'w810i', 'think', 'worked', 'thats', 'first', 'used']"
the battery is completely useless to me,0,False,"['battery', 'completely', 'useless']"
what a big waste of time,0,False,"['big', 'waste', 'time']"
dont waste your  on this one,0,False,"['dont', 'waste', 'one']"
great sound and service,1,False,"['great', 'sound', 'service']"
really pleased with this product so far,1,False,"['really', 'pleased', 'product', 'far']"
one of my favorite purchases ever,1,False,"['one', 'favorite', 'purchases', 'ever']"
best bluetooth on the market,1,False,"['best', 'bluetooth', 'market']"
authentic leather with nice shine and comfort i recommend you this case ,1,False,"['authentic', 'leather', 'nice', 'shine', 'comfort', 'recommend', 'case']"
i was very excited to get this headset because i thought it was really cute,1,False,"['excited', 'get', 'headset', 'thought', 'really', 'cute']"
do not make the same mistake as me,0,False,"['make', 'mistake']"
big disappointment with calendar sync,0,False,"['big', 'disappointment', 'calendar', 'sync']"
the phone was unusable and was not new,0,False,"['phone', 'unusable', 'new']"
worst customer service ever,0,False,"['worst', 'customer', 'service', 'ever']"
no additional ear gels provided and no instructions whatsoever,0,False,"['additional', 'ear', 'gels', 'provided', 'instructions', 'whatsoever']"
it defeats the purpose of a bluetooth headset,0,False,"['defeats', 'purpose', 'bluetooth', 'headset']"
worth every penny,1,False,"['worth', 'every', 'penny']"
excellent wallet type phone case,1,False,"['excellent', 'wallet', 'type', 'phone', 'case']"
nice headphones for the price and they work great,1,False,"['nice', 'headphones', 'price', 'work', 'great']"
internet is excrutiatingly slow,0,False,"['internet', 'excrutiatingly', 'slow']"
it is very comfortable to wear as well which is probably the most important aspect about using a case,1,False,"['comfortable', 'wear', 'well', 'probably', 'important', 'aspect', 'using', 'case']"
its fits like a glove and is strong secure and durable,1,False,"['fits', 'like', 'glove', 'strong', 'secure', 'durable']"
o my gosh the best phone i have ever had,1,False,"['gosh', 'best', 'phone', 'ever']"
its very attractive and appears to be of good quality,1,False,"['attractive', 'appears', 'good', 'quality']"
i love all the features and form factor,1,False,"['love', 'features', 'form', 'factor']"
this product had a strong rubberpetroleum smell that was unbearable after a while and caused me to return it,0,False,"['product', 'strong', 'rubberpetroleum', 'smell', 'unbearable', 'caused', 'return']"
poor quality and service,0,False,"['poor', 'quality', 'service']"
the cable looks so thin and flimsy it is scary,0,False,"['cable', 'looks', 'thin', 'flimsy', 'scary']"
great earpiece,1,False,"['great', 'earpiece']"
excellent hands free tool,1,False,"['excellent', 'hands', 'free', 'tool']"
great for using with your home stereo,1,False,"['great', 'using', 'home', 'stereo']"
good product  incredible value,1,False,"['good', 'product', 'incredible', 'value']"
only had this a month but its worked flawlessly so far,1,False,"['month', 'worked', 'flawlessly', 'far']"
works great,1,False,"['works', 'great']"
absolutel junk,0,False,"['absolutel', 'junk']"
that one didnt work either,0,False,"['one', 'didnt', 'work', 'either']"
battery life is real good,1,False,"['battery', 'life', 'real', 'good']"
returned 8 hours later,0,False,"['returned', '8', 'hours', 'later']"
its a great item,1,False,"['great', 'item']"
dont waste your money,0,False,"['dont', 'waste', 'money']"
love this headset,1,False,"['love', 'headset']"
not only will it drain your player but may also potentially fry it,0,False,"['drain', 'player', 'may', 'also', 'potentially', 'fry']"
worked perfectly,1,False,"['worked', 'perfectly']"
unreliable  im giving up,0,False,"['unreliable', 'im', 'giving']"
i gave it 5 stars because of the sound quality,1,False,"['gave', '5', 'stars', 'sound', 'quality']"
avoid this one if you can,0,False,"['avoid', 'one']"
reversible plug works great,1,False,"['reversible', 'plug', 'works', 'great']"
i wasted my little money with this earpiece,0,False,"['wasted', 'little', 'money', 'earpiece']"
very good phone,1,False,"['good', 'phone']"
best of all is the rotating feature very helpful,1,False,"['best', 'rotating', 'feature', 'helpful']"
comfort for our whole family,1,False,"['comfort', 'whole', 'family']"
good product good seller,1,False,"['good', 'product', 'good', 'seller']"
i love this bluetooth,1,False,"['love', 'bluetooth']"
first of all it doesnt wear well,0,False,"['first', 'doesnt', 'wear', 'well']"
i am very impressed with this headset from plantronics,1,False,"['impressed', 'headset', 'plantronics']"
i got it because it was so small and adorable,1,False,"['got', 'small', 'adorable']"
great phone,1,False,"['great', 'phone']"
i wouldnt recommend buying this product,0,False,"['wouldnt', 'recommend', 'buying', 'product']"
piece of junk,0,False,"['piece', 'junk']"
poorly contstruct hinge,0,False,"['poorly', 'contstruct', 'hinge']"
this item is great installed it let it charged up overnite and it has been working good every since with no problems,1,False,"['item', 'great', 'installed', 'let', 'charged', 'overnite', 'working', 'good', 'every', 'since', 'problems']"
great phone,1,False,"['great', 'phone']"
dont buy it,0,False,"['dont', 'buy']"
excellent phone,1,False,"['excellent', 'phone']"
do not purchase this phone,0,False,"['purchase', 'phone']"
the voice recognition thru the handset is excellent,1,False,"['voice', 'recognition', 'thru', 'handset', 'excellent']"
this is hands down the best phone ive ever had,1,False,"['hands', 'best', 'phone', 'ive', 'ever']"
works great when my cat attacked the phone he scratched the protective strip instead of destroying the screen,1,False,"['works', 'great', 'cat', 'attacked', 'phone', 'scratched', 'protective', 'strip', 'instead', 'destroying', 'screen']"
this one works and was priced right,1,False,"['one', 'works', 'priced', 'right']"
customer service was terrible,0,False,"['customer', 'service', 'terrible']"
